,aeropark,szemlo-hegyi-barlang,motorcsonakazas-dunan,varosnezo-hajo-4fogasos,unicum-haz,tropicarium,postamuzeum,belyegmuzeum,groupama-arena,pal-volgyi-barlang,termeszettudomanyi-muzeum,magyar-nemzeti-muzeum,flipper-muzeum,minipolisz,csodak-palotaja,varosnezo-hajokirandulas,szamos
0,0.5454545454545454, 0.6666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.5, 0.09090909090909091, 0.18181818181818182, 0.2222222222222222, 0.2, 0.0, 0.1111111111111111, 0.0, 0.0, 
00,0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
000,0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.0, 0.18181818181818182, 0.0, 0.0, 0.3333333333333333, 0.1111111111111111, 0.0, 0.0, 
1,0.5454545454545454, 0.8333333333333334, 1.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.18181818181818182, 0.25, 0.8333333333333334, 1.0, 1.0, 0.7777777777777778, 0.8, 0.3333333333333333, 0.2222222222222222, 0.3333333333333333, 0.0, 
10,0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 
2,0.45454545454545453, 0.16666666666666666, 0.5, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.5, 0.0, 0.7272727272727273, 0.1111111111111111, 0.2, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 
20,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
3,0.09090909090909091, 0.0, 0.3333333333333333, 0.5, 0.0, 0.16666666666666666, 0.0, 0.25, 0.0, 0.09090909090909091, 0.18181818181818182, 0.5555555555555556, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 
30,0.0, 0.16666666666666666, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 
4,0.18181818181818182, 0.0, 0.0, 0.5, 0.3333333333333333, 0.0, 0.0, 0.0, 0.6666666666666666, 0.18181818181818182, 0.0, 0.2222222222222222, 0.6, 0.0, 0.2222222222222222, 0.0, 0.0, 
